,2018-11-22,【中期金策略】遇回调支撑位 逢低做多玉米淀粉 
,2018-11-22,【中期金策略】苹果再摸高点 逢高低多减仓 
,2018-11-22,【中期金视野】四中全会前降准或（和）降息概率不大 
,2018-11-22,【中期金策略】郑糖探底回升 后市有望反弹 
,2018-11-22,【中期金策略】焦炭：短期下调不改长期看多 
,2018-11-22,【中期金策略】焦煤：受下游影响，谨慎看多 
,2018-11-22,【中期金策略】动力煤：短期政策托底，长期仍看空 
,2018-11-22,【中期金策略】原油内盘震荡偏强 
,2018-11-22,【中期金策略】原油外盘继续关注B-W套利机会。 
,2018-11-21,【中期热点监控】美沙合作令油价跌势不止 
,2018-11-21,【中期金策略】郑糖探底回升 有望企稳反弹 
,2018-11-21,【中期金策略】夜盘原油交易策略 
,2018-11-21,【中期金视野】不宜过于乐观中美缓和 
,2018-11-21,【图解行情】股指低开高走，商品触底反弹 
,2018-11-21,【中期金策略】焦炭：提降范围扩大，基本面转弱 
,2018-11-21,【中期金策略】焦煤：下游转弱，谨慎看多 
,2018-11-21,【中期金策略】动力煤：弱势不改，继续看空 
,2018-11-21,【中期金策略】原油内盘以日内短多为主 
,2018-11-21,【中期金策略】外盘继续关注B-W套利机会。 
,2018-11-21,【中期加油站】2018.11.21 
,2018-11-20,【中期金策略】创业板受挫，两市回落 
,2018-11-20,【中期热点监控】今日黄金逆势上涨，喜提五连阳 
,2018-11-20,【原油交易策略】原油主力预测今夜震荡上升 
,2018-11-20,【中期金视野】基建回升将加快，利好固投和经济稳定 
,2018-11-20,【图解行情】股指商品双收阴，跌多涨少需谨慎 
,2018-11-20,【中期金策略】棕榈油领跌 油脂空仓或者滚动高空 
,2018-11-20,【中期金策略】豆粕1-5价差稳步回落 1905等待低多机会 
,2018-11-20,【中期金策略】铝：短期震荡，操作上观望 
,2018-11-20,【中期金策略】焦炭:部分提取提降落实，偏强震荡 
,2018-11-20,【中期金策略】焦煤：需求刚性仍在，继续看多 
,2018-11-20,【中期金策略】动力煤：基本面弱势，远月持续看空 
,2018-11-20,【中期金策略】原油内盘以日内短多为主 
,2018-11-20,【中期金策略】原油外盘继续关注B-W套利机会 
,2018-11-20,【原油交易策略】原油主力预测今日震荡上升 
,2018-11-19,【中期热点监控】十债期货结束四连阳 
,2018-11-19,【原油交易策略】原油主力预测今夜震荡下跌 
,2018-11-19,【中期金策略】 郑糖大幅下挫 关注4940一线支撑 
,2018-11-19,【中期金视野】脱欧协议引众怒，英保守党或重选领导人 
,2018-11-19,【中期金策略】铅：短期延续震荡 
,2018-11-19,【图解行情】股指再度收阳线，黑色分化铁矿强 
,2018-11-19,【中期金策略】焦炭：焦化厂和钢厂周库存分化，谨慎持多 
,2018-11-19,【中期金策略】焦煤：基本面支撑，强势不改 
,2018-11-19,【中期金策略】动力煤：库存持续高位，继续看空 
,2018-11-19,【中期交易策略】原油主力预测今日下滑 
,2018-11-19,【中期加油站】2018.11.19 
,2018-11-19,【中期金策略】原油内盘以日内短多为主 
,2018-11-19,【中期金策略】原油外盘继续关注B-W套利机会。 
,2018-11-16,【中期金策略】郑糖止跌企稳 ，仍有上行空间 
,2018-11-16,【中期金视野】十月M2增速谈不上回落 
,2018-11-16,【中期金视野】十月社融大降，实体恢复或放缓 
,2018-11-16,【中期金策略】焦炭：库存低，部分地区限产，价格坚挺，持多 
,2018-11-16,【中期金策略】焦煤：库存微增，不改强势，持多 
,2018-11-16,【中期金策略】动力煤:消息刺激难改弱势，远月合约持空 
,2018-11-16,【中期金策略】锌：强势拉涨，不建议追高 
,2018-11-16,【中期金策略】原油内盘以日内短多为主 
,2018-11-16,【中期金策略】原油外盘继续关注B-W套利机会 
,2018-11-16,【中期加油站】原油市场全息图2018.11.16 
,2018-11-16,【中期金策略】原油主力预测今日下跌 
,2018-11-15,【中期金策略】锌：伦锌强势，提振国内锌价 
,2018-11-15,【中期热点监控】焦炭：焦炭库存低位，限产加持，继续看多 
,2018-11-15,【中期热点监控】焦煤：焦煤需求稳定，山西限产支撑煤价，继续持多 
,2018-11-15,【中期金策略】期指：创投强势，券商雄起，赚钱效应依旧 
,2018-11-15,【图解行情】双焦再燃黑色系，股指收阳迎交割 
,2018-11-15,【中期金策略】资金移仓郑棉1905 远月仍存下跌风险 
,2018-11-15,【中期金视野】10月工业增加值增速加码 经济回暖 
,2018-11-15,【中期加油站】原油市场全息图2018.11.15 
,2018-11-15,【中期金策略】原油内盘以日内短多为主 
,2018-11-15,【中期金策略】原油外盘继续关注B-W套利机会 
,2018-11-15,【中期金策略】螺纹修复性反弹的高度以及持续性存疑 
,2018-11-15,【中期金策略】原油主力预测今日震荡下滑 
,2018-11-15,【中期金策略】焦炭：关注限产，短期偏强，多单持有 
,2018-11-15,【中期金策略】焦煤：持续关注限产和限超，多单持有 
,2018-11-15,【中期金策略】动力煤：谨慎看空，远期合约持空 
,2018-11-14,【中期金策略】行情图解 
